"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","1","","Array practice","","Array practice","Array method - Filter and includes","Array method - Filter and includes",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - includes","Array method - includes",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - shift","Array method - shift",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","1","","Array practice","","Array practice","Array method - flat","Array method - flat",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","1","","Array practice","","Array practice","Array method - toString","Array method - toString",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - fill","Array method - fill",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","1","","Array practice","","Array practice","Array method - Map","Array method - Map",""
"failed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","144","","POST /authorization","","POST /authorization","generateAuthToken successfully with admin creds returns a token","generateAuthToken successfully with admin creds returns a token",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - values","Array method - values",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - flatMap","Array method - flatMap",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - join","Array method - join",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - entries","Array method - entries",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - unshift","Array method - unshift",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - Concat","Array method - Concat",""
"failed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","4","","POST /authorization","","POST /authorization","generateAuthToken successfully with user creds returns a token","generateAuthToken successfully with user creds returns a token",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","2","","Array practice","","Array practice","Array method - Find","Array method - Find",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - Slice","Array method - Slice",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - Reduce","Array method - Reduce",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - pop","Array method - pop",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","1","","Array practice","","Array practice","Array method - copyWithin","Array method - copyWithin",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","1","","Array practice","","Array practice","Array method - Reverse","Array method - Reverse",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","1","","Array practice","","Array practice","Array method - Splice","Array method - Splice",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","1","","Array practice","","Array practice","Array method - push","Array method - push",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - keys","Array method - keys",""
"failed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","6","","GET /genres/search","","GET /genres/search","searchGenres successfully - returns a list of paginated genres","searchGenres successfully - returns a list of paginated genres",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","1","","Array practice","","Array practice","Array method - FindIndex","Array method - FindIndex",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","1","","Array practice","","Array practice","Array method - Every","Array method - Every",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - Sort descending","Array method - Sort descending",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - Some","Array method - Some",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","1","","Array practice","","Array practice","Array method - lastIndexOf","Array method - lastIndexOf",""
"passed","Sun Jan 28 11:00:52 CET 2024","Sun Jan 28 11:00:52 CET 2024","0","","Array practice","","Array practice","Array method - indexOf","Array method - indexOf",""
